Site,Removal1,Removal2,Removal3,Species
1,0,0,0,ESD
2,0,0,0,ESD
3,0,0,0,ESD
4,0,0,0,ESD
5,0,1,1,ESD
6,0,1,1,ESD
7,0,1,1,ESD
8,0,1,1,ESD
9,0,0,0,ESD
10,0,0,0,ESD
11,0,1,1,ESD
12,0,1,1,ESD
13,0,1,1,ESD
14,0,1,1,ESD
15,0,1,1,ESD
16,0,0,0,ESD
17,0,1,1,ESD
18,0,0,0,ESD
19,0,0,0,ESD
20,0,0,0,ESD
21,0,1,1,ESD
22,0,1,1,ESD
23,0,0,0,ESD
24,0,1,1,ESD
25,0,0,0,ESD
26,0,0,0,ESD
27,0,0,0,ESD
28,0,1,1,ESD
29,0,1,1,ESD
30,0,0,0,ESD
31,0,0,0,ESD
32,0,1,1,ESD
33,0,1,1,ESD
34,0,1,1,ESD
35,0,1,1,ESD
36,0,1,1,ESD
37,0,0,0,ESD
38,0,1,1,ESD
39,0,0,0,ESD
40,0,0,0,ESD
41,0,0,0,ESD
42,0,0,0,ESD
43,0,1,1,ESD
44,0,0,1,ESD
45,0,0,0,ESD
46,0,0,1,ESD
47,0,0,0,ESD
48,0,0,0,ESD
49,0,0,0,ESD
50,0,0,0,ESD
51,0,0,0,ESD
52,0,0,0,ESD
53,0,0,0,ESD
54,0,0,0,ESD
55,0,0,0,ESD
56,0,0,0,ESD
57,0,0,0,ESD
58,0,0,0,ESD
59,0,0,0,ESD
60,0,0,0,ESD
61,0,0,1,ESD
62,0,0,0,ESD
63,0,0,0,ESD
64,0,0,0,ESD
65,0,0,0,ESD
66,0,0,0,ESD
67,0,0,0,ESD
68,0,0,0,ESD
69,0,0,0,ESD
70,0,0,0,ESD
71,0,0,0,ESD
72,0,0,0,ESD
73,0,0,0,ESD
74,0,0,0,ESD
75,0,0,0,ESD
76,0,0,0,ESD
77,0,0,0,ESD
78,0,0,0,ESD
79,0,0,0,ESD
80,0,1,1,ESD
81,0,0,0,ESD
82,0,0,0,ESD
83,0,0,0,ESD
84,0,0,0,ESD
85,0,1,1,ESD
86,0,0,0,ESD
87,0,0,0,ESD
88,0,0,0,ESD
89,0,0,0,ESD
90,0,0,0,ESD
91,0,0,0,ESD
92,0,0,0,ESD
93,0,0,0,ESD
94,0,0,0,ESD
95,0,0,0,ESD
96,0,0,0,ESD
97,0,0,0,ESD
98,0,0,0,ESD
99,0,0,0,ESD
100,0,0,0,ESD
101,0,0,0,ESD
102,0,0,0,ESD
103,0,0,0,ESD
104,0,0,0,ESD
105,0,0,0,ESD
106,0,0,0,ESD
107,0,1,1,ESD
108,0,0,0,ESD
109,0,0,0,ESD
110,0,0,0,ESD
111,0,0,0,ESD
112,0,0,0,ESD
113,0,0,0,ESD
114,0,0,0,ESD
115,0,0,0,ESD
116,0,0,0,ESD
117,0,0,0,ESD
118,0,0,0,ESD
119,0,0,0,ESD
120,0,1,1,ESD
121,0,0,0,ESD
122,0,0,0,ESD
123,0,0,0,ESD
124,0,0,0,ESD
125,0,0,0,ESD
126,0,0,0,ESD
127,0,0,0,ESD
128,0,0,0,ESD
129,0,0,0,ESD
130,0,0,0,ESD
131,0,0,0,ESD
132,0,0,0,ESD
133,0,0,0,ESD
134,0,0,0,ESD
135,0,0,0,ESD
136,0,0,0,ESD
137,0,0,0,ESD
138,0,0,0,ESD
139,0,0,0,ESD
140,0,0,0,ESD
141,0,0,0,ESD
142,0,0,0,ESD
143,0,0,0,ESD
144,0,0,0,ESD
145,0,0,0,ESD
146,0,0,0,ESD
147,0,0,0,ESD
148,0,1,1,ESD
149,0,1,1,ESD
150,0,1,1,ESD
151,0,0,0,ESD
1,0,0,0,SS
2,0,0,0,SS
3,0,0,0,SS
4,0,0,0,SS
5,0,0,0,SS
6,0,0,0,SS
7,0,0,0,SS
8,0,0,0,SS
9,0,0,0,SS
10,0,0,0,SS
11,0,0,0,SS
12,0,0,0,SS
13,0,0,0,SS
14,0,0,0,SS
15,0,0,1,SS
16,0,0,0,SS
17,0,0,1,SS
18,0,0,1,SS
19,0,0,1,SS
20,0,0,1,SS
21,0,0,0,SS
22,0,0,1,SS
23,0,0,0,SS
24,0,0,0,SS
25,0,0,0,SS
26,0,0,0,SS
27,0,0,0,SS
28,0,0,0,SS
29,0,0,1,SS
30,0,0,0,SS
31,0,0,1,SS
32,0,0,1,SS
33,0,0,1,SS
34,0,0,0,SS
35,0,0,0,SS
36,0,0,0,SS
37,0,0,0,SS
38,0,0,1,SS
39,0,0,0,SS
40,0,0,0,SS
41,0,0,0,SS
42,0,0,0,SS
43,0,0,0,SS
44,0,0,0,SS
45,0,0,0,SS
46,0,0,0,SS
47,0,0,0,SS
48,0,0,0,SS
49,0,0,0,SS
50,0,0,1,SS
51,0,0,0,SS
52,0,0,1,SS
53,0,0,0,SS
54,0,0,0,SS
55,0,0,0,SS
56,0,0,0,SS
57,0,0,0,SS
58,0,0,1,SS
59,0,0,0,SS
60,0,0,0,SS
61,0,0,0,SS
62,0,0,0,SS
63,0,0,1,SS
64,0,0,0,SS
65,0,0,0,SS
66,0,0,1,SS
67,0,0,0,SS
68,0,0,0,SS
69,0,0,0,SS
70,0,0,0,SS
71,0,0,0,SS
72,0,0,0,SS
73,0,0,0,SS
74,0,0,0,SS
75,0,0,0,SS
76,0,0,0,SS
77,0,0,0,SS
78,0,0,0,SS
79,0,0,0,SS
80,0,0,0,SS
81,0,0,0,SS
82,0,0,0,SS
83,0,0,0,SS
84,0,0,0,SS
85,0,0,0,SS
86,0,0,0,SS
87,0,0,0,SS
88,0,0,0,SS
89,0,0,0,SS
90,0,0,0,SS
91,0,0,0,SS
92,0,0,0,SS
93,0,0,0,SS
94,0,0,0,SS
95,0,0,0,SS
96,0,0,0,SS
97,0,0,0,SS
98,0,0,0,SS
99,0,0,0,SS
100,0,0,0,SS
101,0,0,0,SS
102,0,0,0,SS
103,0,0,0,SS
104,0,0,0,SS
105,0,0,0,SS
106,0,0,0,SS
107,0,0,0,SS
108,0,0,0,SS
109,0,0,0,SS
110,0,0,0,SS
111,0,0,0,SS
112,0,0,0,SS
113,0,0,0,SS
114,0,0,0,SS
115,0,0,0,SS
116,0,0,0,SS
117,0,0,0,SS
118,0,0,0,SS
119,0,0,0,SS
120,0,0,0,SS
121,0,0,0,SS
122,0,0,0,SS
123,0,0,0,SS
124,0,0,0,SS
125,0,0,0,SS
126,0,0,0,SS
127,0,0,0,SS
128,0,0,0,SS
129,0,0,0,SS
130,0,0,0,SS
131,0,0,0,SS
132,0,0,0,SS
133,0,0,0,SS
134,0,0,0,SS
135,0,0,0,SS
136,0,0,0,SS
137,0,0,0,SS
138,0,0,0,SS
139,0,0,0,SS
140,0,0,0,SS
141,0,0,0,SS
142,0,0,0,SS
143,0,0,0,SS
144,0,0,0,SS
145,0,0,0,SS
146,0,0,0,SS
147,0,0,0,SS
148,0,0,0,SS
149,0,0,1,SS
150,0,0,1,SS
151,0,0,0,SS
